site,pubs,lat,lon,type,files
Prince Charles Mountains,10,-71.42711111,67.24611111,Mountain,ATCM39_IP031_2016_Antarctic_Geoconservation_Review|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2022_abstracts|openalex_antarctic_science_2012_10.1017_s0954102012000909|openalex_antarctic_science_2013_10.1017_s0954102013000278|openalex_antarctic_science_2015_10.1017_s0954102015000498|openalex_antarctic_science_2024_10.1017_s0954102024000348|openalex_polar_record_2012_10.1017_s0032247412000186
Vestfold,10,-68.55,78.25,Hill,Geosite_GF1_Shcherbinina_Layered_Complex|Geosite_GF1_Taynaya_Paragneiss|Geosite_GF1_Torckler-Tang|POLAR2018_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2024_10.1017_s0954102024000282
South Orkney Islands,9,-60.5833333,-45.5,Island,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2012_10.1017_s0954102012000582|openalex_antarctic_science_2013_10.1017_s0954102013000606
Thwaites Glacier,9,-75.5,-106.75,Glacier,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2011_10.1017_s0954102011000320|openalex_antarctic_science_2024_10.1017_s0954102023000287|openalex_polar_record_2023_10.1017_s0032247423000232
Taylor Glacier,9,-67.4493,60.8504,Glacier,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2014_10.1017_s0954102014000534|openalex_antarctic_science_2017_10.1017_s0954102016000687
Windmill Islands,9,-66.35,110.4166944,Island,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2012_10.1017_s0954102012000235|openalex_antarctic_science_2016_10.1017_s0954102015000565
Adelaide Island,9,-67.25,-68.5,Island,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2010_10.1017_s0954102010000015|openalex_antarctic_science_2012_10.1017_s0954102012000867
Mount Erebus,9,-77.53333333,167.16666667,Mountain,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|SCAR_ResearchDay_2016_abstracts|openalex_antarctic_science_2013_10.1017_s0954102013000436|openalex_antarctic_science_2016_10.1017_s095410201500067x
The Satellite,8,-67.86630556,61.08980556,Peak,POLAR2018_PolarExpo_posters|POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts
Ellsworth Mountains,8,-79.0,-84.5,Mountain,ATCM39_ATT042_2016_Geoconservation_Attachment|POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts
